legislator_id,name_first,name_middle,name_last,name_suffix,nickname,chamber_name,title,abbr_title,district,party,photo_url,term_start_year,term_end_year,term_id,spon_num,cospon_num,spon_signed_num,cospon_signed_num
568,Dave,"",Hinson,"","",House,Representative,Rep.,119,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=500,2013,2014,2,10,34,1,8
369,Ward,"",Franz,,"",House,Representative,Rep.,151,Republican,http://www.house.mo.gov/billtracking/bills121/member/mem151.jpg,2011,2012,1,23,34,2,1
464,Jeanie,"",Lauer,"","",House,Representative,Rep.,54,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=462,2011,2012,1,6,31,1,5
525,Warren,"",Love,"","",House,Representative,Rep.,125,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=682,2013,2014,2,9,57,1,3
443,Casey,"",Guernsey,,"",House,Representative,Rep.,2,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=47,2013,2014,2,13,26,1,1
416,Jay,"",Barnes,,"",House,Representative,Rep.,60,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=504,2013,2014,2,18,36,1,3
530,Rocky,"",Miller,"","",House,Representative,Rep.,124,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=684,2013,2014,2,5,46,1,2
540,Tim,"",Remole,"","",House,Representative,Rep.,6,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=643,2013,2014,2,2,50,1,4
441,Chuck,"",Gatschenberger,,"",House,Representative,Rep.,13,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=57,2011,2012,1,27,57,1,2
385,Bob,"",Nance,,"",House,Representative,Rep.,36,Republican,http://www.house.mo.gov/billtracking/bills121/member/mem036.jpg,2011,2012,1,7,36,1,3
425,Stanley,"",Cox,,"",House,Representative,Rep.,52,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=151,2013,2014,2,17,24,4,2
415,Kurt,"",Bahr,"","",House,Representative,Rep.,102,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=471,2013,2014,2,24,68,1,4
461,Bart,"",Korman,"","",House,Representative,Rep.,42,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=468,2013,2014,2,17,31,1,4
561,Rick,"",Stream,,"",House,Representative,Rep.,90,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=197,2013,2014,2,23,25,3,2
475,Myron,"",Neth,,"",House,Representative,Rep.,17,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=486,2013,2014,2,7,7,1,2
469,John,"",McCaherty,"","",House,Representative,Rep.,97,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=463,2013,2014,2,10,51,3,3
594,David,"",Sater,,"",House,Representative,Rep.,68,Republican,http://www.senate.mo.gov/15info/graphics/d29-photo.gif,2011,2012,1,12,37,1,1
413,Sue,"",Allen,"","",House,Representative,Rep.,92,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=357,2011,2012,1,12,36,1,2
484,Jeanie,"",Riddle,"","",House,Representative,Rep.,49,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=384,2013,2014,2,6,8,2,1
501,Paul,"",Wieland,"","",House,Representative,Rep.,102,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=502,2011,2012,1,6,59,1,7
544,Caleb,"",Rowden,"","",House,Representative,Rep.,44,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=661,2013,2014,2,8,36,1,6
354,Randy,"",Asbury,,"",House,Representative,Rep.,22,Republican,http://www.house.mo.gov/billtracking/bills121/member/mem022.jpg,2011,2012,1,4,33,1,1
431,Tony,"",Dugger,"","",House,Representative,Rep.,141,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=366,2013,2014,2,15,42,3,6
429,Charlie,"",Davis,"","",House,Representative,Rep.,162,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=449,2013,2014,2,10,63,1,6
497,Noel,"",Torpey,"","",House,Representative,Rep.,52,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=494,2011,2012,1,10,63,1,5
435,Paul,"",Fitzwater,"","",House,Representative,Rep.,144,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=512,2013,2014,2,9,56,1,7
495,Sheila,"",Solon,"","",House,Representative,Rep.,31,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=495,2013,2014,2,10,43,1,3
530,Rocky,"",Miller,"","",House,Representative,Rep.,124,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=684,2013,2014,2,12,53,1,6
483,Todd,"",Richardson,,"",House,Representative,Rep.,154,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=514,2011,2012,1,12,53,4,6
561,Rick,"",Stream,,"",House,Representative,Rep.,90,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=197,2013,2014,2,23,20,14,2
370,Gary,"",Fuhr,,"",House,Representative,Rep.,97,Republican,http://www.house.mo.gov/billtracking/bills111/member/mem097.jpg,2011,2012,1,7,32,1,3
469,John,"",McCaherty,"","",House,Representative,Rep.,97,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=463,2013,2014,2,12,56,1,5
475,Myron,"",Neth,,"",House,Representative,Rep.,17,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=486,2013,2014,2,9,29,1,2
484,Jeanie,"",Riddle,"","",House,Representative,Rep.,49,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=384,2013,2014,2,7,25,2,2
390,Don,"",Ruzicka,,"",House,Representative,Rep.,132,Republican,http://www.house.mo.gov/billtracking/bills121/member/mem132.jpg,2011,2012,1,14,29,1,3
431,Tony,"",Dugger,"","",House,Representative,Rep.,141,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=366,2013,2014,2,21,29,5,4
454,Caleb,"",Jones,"","",House,Representative,Rep.,117,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=506,2011,2012,1,26,5,1,1
429,Charlie,"",Davis,"","",House,Representative,Rep.,162,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=449,2013,2014,2,7,70,3,7
548,Kathryn,"",Swan,,"",House,Representative,Rep.,147,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=660,2013,2014,2,14,61,2,6
560,Linda,"",Black,"","",House,Representative,Rep.,107,Democratic,http://www.house.mo.gov/MemberPhoto.aspx?id=368,2011,2012,1,6,56,1,1
565,Bill,"",Lant,"","",House,Representative,Rep.,159,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=445,2013,2014,2,9,74,2,4
363,John,"",Cauthorn,,"",House,Representative,Rep.,21,Republican,http://www.house.mo.gov/billtracking/bills121/member/mem021.jpg,2011,2012,1,17,61,2,4
568,Dave,"",Hinson,"","",House,Representative,Rep.,119,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=500,2013,2014,2,11,49,1,6
434,Sue,"",Entlicher,"","",House,Representative,Rep.,133,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=481,2011,2012,1,3,49,1,2
419,Wanda,"",Brown,"","",House,Representative,Rep.,57,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=505,2013,2014,2,10,49,1,2
449,Denny,"",Hoskins,"","",House,Representative,Rep.,121,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=371,2011,2012,1,7,29,2,3
445,Kent,"",Hampton,,"",House,Representative,Rep.,150,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=517,2013,2014,2,4,34,1,2
411,Kevin,"",Engler,"","",House,Representative,Rep.,116,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=687,2013,2014,2,9,12,2,2
427,Gary L.,"",Cross,,"",House,Representative,Rep.,35,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=479,2013,2014,2,4,26,2,5
416,Jay,"",Barnes,,"",House,Representative,Rep.,60,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=504,2013,2014,2,23,23,1,2
426,Sandy,"",Crawford,"","",House,Representative,Rep.,129,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=478,2013,2014,2,6,39,2,2
420,Eric,"",Burlison,"","",House,Representative,Rep.,133,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=360,2013,2014,2,16,31,1,1
412,Doug,"",Funderburk,,"",House,Representative,Rep.,103,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=56,2013,2014,2,13,48,1,3
473,Chris,"",Molendorp,,"",House,Representative,Rep.,56,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=381,2013,2014,2,8,19,1,1
501,Paul,"",Wieland,"","",House,Representative,Rep.,112,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=502,2013,2014,2,11,34,1,4
488,Dave,"",Schatz,,"",House,Representative,Rep.,61,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=454,2013,2014,2,12,28,2,3
454,Caleb,"",Jones,"","",House,Representative,Rep.,50,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=506,2013,2014,2,25,9,2,2
431,Tony,"",Dugger,"","",House,Representative,Rep.,144,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=366,2011,2012,1,12,58,4,3
518,Elijah,"",Haahr,"","",House,Representative,Rep.,134,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=673,2013,2014,2,12,33,2,2
429,Charlie,"",Davis,"","",House,Representative,Rep.,128,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=449,2011,2012,1,7,89,1,7
514,Scott,"",Fitzpatrick,"","",House,Representative,Rep.,158,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=648,2013,2014,2,18,29,1,3
437,Lyndall,"",Fraker,"","",House,Representative,Rep.,137,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=482,2013,2014,2,6,67,1,7
551,David,"",Wood,"","",House,Representative,Rep.,58,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=668,2013,2014,2,5,31,1,4
483,Todd,"",Richardson,,"",House,Representative,Rep.,152,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=514,2013,2014,2,9,64,1,6
505,Chrissy,"",Sommer,"","",House,Representative,Rep.,106,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=628,2013,2014,2,22,34,1,1
550,Kenneth,"",Wilson,"","",House,Representative,Rep.,12,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=646,2013,2014,2,8,65,1,7
466,Donna,"",Lichtenegger,"","",House,Representative,Rep.,146,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=515,2013,2014,2,8,60,1,2
496,Mike,"",Thomson,,"",House,Representative,Rep.,1,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=48,2013,2014,2,5,15,1,6
563,Don,"",Gosen,"","",House,Representative,Rep.,101,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=456,2013,2014,2,11,19,2,4
449,Denny,"",Hoskins,"","",House,Representative,Rep.,54,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=371,2013,2014,2,9,42,1,3
479,Don,"",Phillips,,"",House,Representative,Rep.,138,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=732,2013,2014,2,8,36,1,1
464,Jeanie,"",Lauer,"","",House,Representative,Rep.,32,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=462,2013,2014,2,8,26,1,1
465,Mike,"",Leara,"","",House,Representative,Rep.,96,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=377,2013,2014,2,6,26,2,2
445,Kent,"",Hampton,,"",House,Representative,Rep.,163,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=517,2011,2012,1,4,29,1,4
406,Mike,"",Cierpiot,"","",House,Representative,Rep.,30,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=476,2013,2014,2,2,41,1,3
420,Eric,"",Burlison,"","",House,Representative,Rep.,136,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=360,2011,2012,1,15,51,1,3
442,Jeff,"",Grisamore,,"",House,Representative,Rep.,34,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=341,2013,2014,2,20,22,1,1
416,Jay,"",Barnes,,"",House,Representative,Rep.,114,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=504,2011,2012,1,23,26,1,1
436,Tom,"",Flanigan,"","",House,Representative,Rep.,127,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=369,2011,2012,1,9,24,1,1
438,Diane,"",Franklin,"","",House,Representative,Rep.,123,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=455,2013,2014,2,8,48,1,3
457,Mike,"",Kelley,"","",House,Representative,Rep.,127,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=507,2013,2014,2,14,83,2,2
383,Cole,"",McNary,,"",House,Representative,Rep.,86,Republican,http://www.house.mo.gov/billtracking/bills121/member/mem086.jpg,2011,2012,1,4,32,1,2
479,Don,"",Phillips,,"",House,Representative,Rep.,138,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=732,2013,2014,2,6,35,1,6
563,Don,"",Gosen,"","",House,Representative,Rep.,101,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=456,2013,2014,2,16,6,4,1
467,Nick,"",Marshall,"","",House,Representative,Rep.,30,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=493,2011,2012,1,11,17,2,1
465,Mike,"",Leara,"","",House,Representative,Rep.,96,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=377,2013,2014,2,6,20,1,2
464,Jeanie,"",Lauer,"","",House,Representative,Rep.,32,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=462,2013,2014,2,8,22,1,4
406,Mike,"",Cierpiot,"","",House,Representative,Rep.,30,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=476,2013,2014,2,5,28,2,6
442,Jeff,"",Grisamore,,"",House,Representative,Rep.,34,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=341,2013,2014,2,6,15,1,2
426,Sandy,"",Crawford,"","",House,Representative,Rep.,119,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=478,2011,2012,1,2,54,1,4
391,Rodney,"",Schad,,"",House,Representative,Rep.,115,Republican,http://www.house.mo.gov/billtracking/bills121/member/mem115.jpg,2011,2012,1,10,63,1,4
430,John,"",Diehl,,"",House,Representative,Rep.,89,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=365,2013,2014,2,9,67,2,11
534,Jim,"",Neely,,"",House,Representative,Rep.,8,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=645,2013,2014,2,6,32,2,4
368,Barney,"",Fisher,,"",House,Representative,Rep.,125,Republican,http://www.house.mo.gov/billtracking/bills121/member/mem125.jpg,2011,2012,1,4,62,1,3
457,Mike,"",Kelley,"","",House,Representative,Rep.,127,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=507,2013,2014,2,19,78,1,4
487,Dwight,"",Scharnhorst,,"",House,Representative,Rep.,98,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=137,2013,2014,2,11,29,1,2
484,Jeanie,"",Riddle,"","",House,Representative,Rep.,20,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=384,2011,2012,1,11,47,2,5
486,Lyle,"",Rowland,"","",House,Representative,Rep.,155,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=488,2013,2014,2,11,41,1,2
564,Steve,"",Lynch,"","",House,Representative,Rep.,122,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=685,2013,2014,2,2,42,1,8
376,Scott,"",Largent,,"",House,Representative,Rep.,120,Republican,http://www.house.mo.gov/billtracking/bills121/member/mem120.jpg,2011,2012,1,8,25,3,1
364,David,"",Day,,"",House,Representative,Rep.,148,Republican,http://www.house.mo.gov/billtracking/bills121/member/mem148.jpg,2011,2012,1,7,33,2,4
488,Dave,"",Schatz,,"",House,Representative,Rep.,61,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=454,2013,2014,2,7,22,2,1
437,Lyndall,"",Fraker,"","",House,Representative,Rep.,137,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=482,2013,2014,2,9,40,1,1
514,Scott,"",Fitzpatrick,"","",House,Representative,Rep.,158,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=648,2013,2014,2,6,43,1,3
497,Noel,"",Torpey,"","",House,Representative,Rep.,29,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=494,2013,2014,2,12,36,1,2
502,Anne,"",Zerr,"","",House,Representative,Rep.,65,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=390,2013,2014,2,16,49,1,1
433,Kevin,"",Elmer,,"",House,Representative,Rep.,141,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=480,2011,2012,1,11,39,1,3
461,Bart,"",Korman,"","",House,Representative,Rep.,99,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=468,2011,2012,1,8,55,1,3
469,John,"",McCaherty,"","",House,Representative,Rep.,90,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=463,2011,2012,1,8,43,1,1
401,Don,"",Wells,,"",House,Representative,Rep.,147,Republican,http://www.house.mo.gov/billtracking/bills121/member/mem147.jpg,2011,2012,1,14,71,1,3
559,Lincoln,"",Hough,"","",House,Representative,Rep.,140,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=510,2011,2012,1,6,46,1,2
563,Don,"",Gosen,"","",House,Representative,Rep.,84,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=456,2011,2012,1,7,15,1,2
465,Mike,"",Leara,"","",House,Representative,Rep.,95,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=377,2011,2012,1,9,18,1,1
